Text,True Label,Predicted Label
"Purchased this as an upgrade to the first generation Kindle Paperwhite. The backlight is greatly improved, the display is of a higher quality, the words are clearer and the internal process is a lot quicker  opening books and page flipping is noticeably speedier.The one thing that does annoy me about the 3rd generation Paperwhite is the way it's manufactured  when you hold it at a certain angle and you look at the bottom of the screen, you can see a small section of the display covered in the e-ink used to render the words and images on the rest of the screen. At first I thought this was a manufacturing defect, so I took it back to Best Buy and exchanged it for the same model, only to find that the second model had the same issue, except more-visible.This appears to have something to do with the way the display is placed behind the bezel during the manufacturing process. When the Paperwhite first came out, it was the crown jewel of Amazon's e-reader line, and Amazon was careful to precision-craft the devices. Now, that honor falls to the more-expensive Voyage, with the Paperwhite becoming the flagship, but still cheaper, option in the Kindle lineup, meaning the manufacturing quality of the Paperwhite is likely a bit reduced compared to that of the Voyage.This won't be a huge annoyance for some people. It is for me. And it's seriously made me consider whether it's worth contacting Amazon over.For everyone else, though, this is a great e-reader and well worth the money. If you're looking for an e-reader, this is the one to buy.",2,1
Bought this for my wife and she loves it definitely worth it,2,2
Bought this Kindle for our grandchild and he loves it.For anyone who just loves to read this size and weight is perfect!!!!,2,2
So fun and useful. We play with it and rely several task with it.,2,2
"Great for streaming, TV shows! Highly recommend this product!",2,2
"Despite not being able to get one of these from Amazon until late June due to apparent strong demand, Best Buy was able to get one to me on the day of its release, April 27. Well done Best Buy! Having owned several previous Kindles, including the most recent Paperwhite model, I was unprepared for how small and light this new Oasis model is -- reading about it is one thing, but actually holding one in your hand is something else entirely. The Oasis and its battery-charging cover together weigh only one ounce more than the latest Paperwhite with no case. The Oasis _without_ its cover feels impossibly light at 4.6 ounces. Size-wise, the Oasis is nearly a square shape at about 5"" wide by 5.5"" tall. In fact, the shape is so different from traditional Kindle designs that I had to compare it next to my Paperwhite to verify that the screens are actually the same size (they are). It's the first Kindle I think I could easily fit into a jacket pocket without any effort, For frequent travelers like me, this is a key reason to buy one of these, as it's extremely compact and easy to pack in a briefcase or purse. The screen is the first front-lit Kindle I've ever seen where you simply cannot see any trace of the LEDs from any angle. No dark spots, no bright spots...just a completely uniform illumination from edge to edge in both directions. The ""page"" also appears to be nearly flush with the top glass surface, helping achieve the illusion of printed paper. It's sharp and clear, better than any Kindle I've used. The reader can be easily separated from the battery case by simply pulling them apart, since they are held together with magnets. After doing so, this is where the Amazon engineering team's achievements really become clear, as you just won't believe how lightweight this thing is. It's easy to imagine holding onto it for hours without any arm fatigue, and switching from hand to hand is a simple matter of rotating it 180 degrees when switching. The display instantly rotates, and the page turn buttons also ""follow"", with the top button always used to advance the page, and the bottom button always used to go backward. You can also use the screen to change pages as you always have with earlier touch screen models. The battery on the reader has a lower capacity than the cover's battery, so it runs down faster if you don't have it connected to the case. It's very easy to snap the reader back into its cover, which allows it to recharge while you continue to read. The power button and charge port are located in the upper top-right corner, more or less opposite from where they are on the Paperwhite. I find this location to be less awkward, as it's easier to reach on the top than it is on the bottom edge. The back surface of the reader (not the case) seems to easily attract fingerprints, and they are not so easy to clean off. You'd think that Amazon would have figured out a way to prevent this by now. It's a minor annoyance. Lots of reviewers in the tech press have complained loudly about this model's high price relative to other Kindle models (without ads, it's $310 vs. $139 for an ad-less Paperwhite). Is this a lot of money? Perhaps, but if you are a book addict and value an extremely lightweight reader that's easy on both your arms and your eyes, then I personally think it's worth it. A lot of thought and effort clearly went into designing and building this unit, and the price reflects that. Is it for everyone? Probably not, but there is obviously a market for it when you consider how many months you'll have to wait to get one on Amazon's website. If you are a serious reader, this device deserves a very close look -- I'm definitely keeping mine!",2,0
The tablet is Excellent! Very fast and well worth the money! The display is great!,2,2
"Great tablet for price. Highly recommended, quick and easy to use.",2,2
This is a great product but I wish we could get local tv,2,2
"This tablet is great for beginners like myself, I haven't done much more than check emails and read articles but there is more to learn and do",2,2
Really expected a chord with it for the price we paid. Very dissapointed.,0,2
